slot_id,appointment_date,appointment_time,is_available
0000001,2015-01-01,08:00:00,False
0000002,2015-01-01,08:15:00,False
0000003,2015-01-01,08:30:00,False
0000004,2015-01-01,08:45:00,False
0000005,2015-01-01,09:00:00,False
0000006,2015-01-01,09:15:00,False
0000007,2015-01-01,09:30:00,False
0000008,2015-01-01,09:45:00,False
0000009,2015-01-01,10:00:00,False
0000010,2015-01-01,10:15:00,False
0000011,2015-01-01,10:30:00,False
0000012,2015-01-01,10:45:00,False
0000013,2015-01-01,11:00:00,False
0000014,2015-01-01,11:15:00,False
0000015,2015-01-01,11:30:00,False
0000016,2015-01-01,11:45:00,True
0000017,2015-01-01,12:00:00,False
0000018,2015-01-01,12:15:00,False
0000019,2015-01-01,12:30:00,False
0000020,2015-01-01,12:45:00,False
0000021,2015-01-01,13:00:00,False
0000022,2015-01-01,13:15:00,False
0000023,2015-01-01,13:30:00,False
0000024,2015-01-01,13:45:00,False
0000025,2015-01-01,14:00:00,False
0000026,2015-01-01,14:15:00,True
0000027,2015-01-01,14:30:00,False
0000028,2015-01-01,14:45:00,False
0000029,2015-01-01,15:00:00,False
0000030,2015-01-01,15:15:00,False
0000031,2015-01-01,15:30:00,False
0000032,2015-01-01,15:45:00,False
0000033,2015-01-01,16:00:00,False
0000034,2015-01-01,16:15:00,False
0000035,2015-01-01,16:30:00,False
0000036,2015-01-01,16:45:00,False
0000037,2015-01-01,17:00:00,False
0000038,2015-01-01,17:15:00,False
0000039,2015-01-01,17:30:00,False
0000040,2015-01-01,17:45:00,False
0000041,2015-01-02,08:00:00,False
0000042,2015-01-02,08:15:00,False
0000043,2015-01-02,08:30:00,False
0000044,2015-01-02,08:45:00,False
0000045,2015-01-02,09:00:00,False
0000046,2015-01-02,09:15:00,False
0000047,2015-01-02,09:30:00,False
0000048,2015-01-02,09:45:00,False
0000049,2015-01-02,10:00:00,True
0000050,2015-01-02,10:15:00,False
0000051,2015-01-02,10:30:00,False
0000052,2015-01-02,10:45:00,False
0000053,2015-01-02,11:00:00,False
0000054,2015-01-02,11:15:00,False
0000055,2015-01-02,11:30:00,True
0000056,2015-01-02,11:45:00,False
0000057,2015-01-02,12:00:00,False
0000058,2015-01-02,12:15:00,True
0000059,2015-01-02,12:30:00,False
0000060,2015-01-02,12:45:00,False
0000061,2015-01-02,13:00:00,False
0000062,2015-01-02,13:15:00,False
0000063,2015-01-02,13:30:00,False
0000064,2015-01-02,13:45:00,False
0000065,2015-01-02,14:00:00,False
0000066,2015-01-02,14:15:00,False
0000067,2015-01-02,14:30:00,False
